Name,Economic Sector,2013,2014,2015,2016,2017,2018
257,Utilities,46540.92,51742.02,44657.74,39403.0,50026.98,43123.67
6881,Financials,11431.05,16453.27,26205.97,25799.96,21260.05,13066.07
1378,Basic Materials,31425.89,32221.4,29357.45,49511.59,70506.44,38605.5
2799,Financials,,,76884.5,69872.25,92411.69,35812.7
3908,Financials,,,19184.62,16691.53,24718.07,25397.41
817,Real Estate,24736.01,20131.38,28280.29,22304.08,36723.63,40668.42
1890,Academic & Educational Services,,,,,,
2128,Consumer Cyclicals,16608.94,11818.96,16826.47,15605.16,15698.23,12161.48
772,Consumer Cyclicals,,,,,75549.81,37118.72
1589,Industrials,,,,15135.81,7391.96,9378.85
867,Healthcare,20018.25,30957.05,28404.36,30543.39,45317.61,18057.37
1268,Consumer Cyclicals,1630.0,1790.0,1092.17,1229.59,2685.54,3414.49
144,Industrials,71505.25,66885.13,64058.29,50516.95,67027.19,46950.89
3993,Basic Materials,4549.71,5900.2,5703.52,7434.24,19745.98,11328.37
3323,Basic Materials,24012.28,21708.94,10710.51,10854.47,20125.4,20736.21
81,Real Estate,16865.76,8992.03,7485.75,5774.07,9767.98,8798.03
2669,Real Estate,,,4174.31,4371.52,6968.14,7526.9
1911,Financials,,,,,,10877.27
3320,Healthcare,,,,54989.41,63599.16,64227.61
836,Utilities,88066.81,95946.81,72492.56,59230.37,70040.0,72445.25
1907,Basic Materials,,,,,,
1966,Real Estate,6334.09,5546.61,5991.71,7977.54,12886.34,11649.61
412,Financials,1383.74,6480.96,16022.98,10745.64,8103.2,7702.52
691,Basic Materials,9377.11,12570.39,21254.78,21254.78,21254.78,9186.86
966,Financials,27021.05,68997.75,86256.38,57504.27,105304.6,77271.31
728,Technology,54399.43,63003.4,50513.75,49681.12,51623.93,55509.61
1252,Basic Materials,5762.16,5882.2,4441.66,4801.8,14515.1,18981.29
6055,Consumer Non-Cyclicals,,,,,,
570,Healthcare,7880.42,11351.86,23494.82,15909.09,18435.05,22963.25
855,Utilities,4141.5,5082.84,5653.88,7578.34,11318.37,13482.59
3669,Consumer Cyclicals,10315.76,7548.11,8658.13,5772.48,16490.63,8749.41
8083,Technology,1482.75,3475.41,2496.54,3537.6,3000.95,7796.66
6169,Academic & Educational Services,,,,,11760.0,10382.5
2016,Financials,,,,14914.35,16584.15,19855.43
354,Technology,3720.86,4086.59,6634.45,8138.78,12467.8,9593.95
127,Real Estate,45973.58,45592.04,49598.05,25714.7,24035.98,16214.75
884,Real Estate,9883.58,9280.93,11549.49,14089.52,35601.6,32217.97
1883,Technology,8274.87,9765.0,10011.57,8235.57,7335.04,9864.96
775,Consumer Non-Cyclicals,6919.97,7592.74,6727.75,6631.64,5766.64,3508.04
1610,Consumer Non-Cyclicals,,,,5931.03,6165.15,5657.89
1199,Industrials,30987.13,32403.61,25334.41,23494.78,24854.31,23971.05
6066,Financials,,,,8063.84,8726.27,5611.55
3311,Industrials,54053.52,43735.32,54597.96,52062.37,55237.71,31405.74
2616,Healthcare,,,,,,
2356,Financials,17068.7,17437.16,19235.04,20010.47,23809.15,19426.64
861,Technology,9996.77,7863.98,9746.68,7247.42,8906.26,6071.69
489,Consumer Cyclicals,34668.57,31355.93,29585.37,21617.88,27015.21,20275.69
2048,Real Estate,,,,,,21612.51
1995,Real Estate,,,,,,2670.0
3360,Financials,21828.61,25186.86,28482.38,26272.69,26357.21,31237.87
142,Consumer Non-Cyclicals,38026.08,32984.91,21939.91,23205.06,23012.52,13112.79
6088,Technology,,,,,35622.09,22860.25
778,Real Estate,11453.45,14684.68,15053.25,16919.65,18462.93,17300.34
1992,Consumer Cyclicals,,,,,,19716.7
1448,Consumer Non-Cyclicals,10260.0,7760.5,12598.43,9646.98,14424.01,13068.94
535,Real Estate,6365.17,4546.55,8212.6,7501.89,12845.56,11747.29
1548,Healthcare,,,2112.0,6255.38,34584.59,19381.43
1282,Technology,1317.19,582.49,22410.53,19933.73,16041.57,12417.5
3308,Consumer Cyclicals,18843.63,15538.31,15796.73,18490.75,15834.34,14023.05
530,Consumer Non-Cyclicals,21624.01,52360.68,106490.6,20899.05,28661.67,20482.61
493,Consumer Cyclicals,24131.31,19333.51,21880.44,20649.42,20264.18,14012.45
41,Consumer Cyclicals,16972.76,16559.12,16817.54,25028.11,28195.25,23404.67
2333,Consumer Cyclicals,44220.09,45563.21,27988.82,22440.65,27740.86,13916.92
3900,Real Estate,25556.65,16639.29,16650.62,13584.65,21784.07,12751.82
2869,Real Estate,,,,7305.54,16999.98,16666.64
2238,Consumer Cyclicals,18768.79,15625.9,15293.91,20760.76,40990.34,24200.21
2777,Real Estate,11513.02,9634.79,9695.71,9523.12,17888.84,12020.65
53,Consumer Cyclicals,31342.13,29943.66,27903.54,28133.88,33036.73,32740.59
1788,Financials,6806.94,13415.87,18861.32,16647.06,17163.91,9721.74
1112,Consumer Non-Cyclicals,41648.62,9672.8,10068.68,15099.03,33056.32,28621.88
357,Industrials,1742.69,1445.44,2223.75,1747.23,1749.5,1445.44
1882,Industrials,27961.91,26110.57,18066.73,24291.13,37506.02,24099.61
665,Financials,5541.95,10790.92,25232.44,23747.56,24533.83,14242.77
10,Real Estate,52845.77,47693.13,34143.95,36763.71,39146.54,27150.68
136,Technology,1655.25,3496.11,42681.8,29093.8,27233.24,17757.56
1310,Technology,,,10056.66,8558.22,9935.98,11947.32
1137,Technology,2847.74,3082.35,1164.98,1067.9,2702.11,2279.81
45,Consumer Cyclicals,15803.09,17447.44,13331.42,13474.95,18432.75,17906.99
1765,Academic & Educational Services,,,,,,5666.66
754,Real Estate,20992.18,15931.81,17247.39,15378.62,17047.79,14421.63
