,IPO,IPO return,MatchFirm,MatchFirm return,Industry,IPO Date
237,2139,-0.2673611111111097,310,-0.5810810810810808,Financials,2018-01-18
238,1665,-0.08163265306122502,8249,0.17307692307692335,Technology,2018-01-19
239,2683,-0.5371900826446279,8010,0.0,Consumer Cyclicals,2018-01-22
240,1711,-0.8218750000000002,8010,0.0,Consumer Cyclicals,2018-01-29
241,6829,-0.6253164556962032,8188,-0.14093959731543748,Industrials,2018-08-02
242,1183,-0.1678832116788318,8188,-0.40336134453781525,Industrials,2018-02-13
243,1729,0.31764705882353006,8188,-0.40336134453781525,Industrials,2018-02-13
244,1621,-0.264000000000001,8270,0.028985507246376052,Energy,2018-05-03
245,2182,0.5164835164835149,8108,-0.2857142857142869,Consumer Non-Cyclicals,2018-08-03
246,1815,-0.602510460251046,8010,0.0,Consumer Cyclicals,2018-03-13
247,1737,-0.6075471698113195,8188,-0.43277310924369783,Industrials,2018-03-14
248,1705,-0.733668341708543,8108,-0.26666666666666694,Consumer Non-Cyclicals,2018-03-14
249,6036,-0.6500000000000004,8249,0.278026905829595,Technology,2018-03-16
250,2377,-0.3067226890756296,8188,-0.4705882352941182,Industrials,2018-03-16
251,2363,-0.4791666666666664,8249,0.278026905829595,Technology,2018-03-16
252,2779,-0.22392638036809975,8363,1.3055555555555531,Academic & Educational Services,2018-03-26
253,2116,-0.5819672131147551,8139,3.9032258064516148,Basic Materials,2018-03-28
254,1716,-0.8213166144200628,8010,0.0,Consumer Cyclicals,2018-03-28
255,1735,0.3925729442970829,8188,-0.47843137254902024,Industrials,2018-03-29
256,1726,-0.25000000000000056,8188,-0.4693877551020412,Industrials,2018-04-18
257,1671,8.234693877551033,1265,0.3999999999999997,Utilities,2018-04-27
258,1742,-0.21428571428571364,8188,1.0434782608695596,Industrials,2018-11-05
259,1750,-0.5457627118644068,8188,1.0434782608695596,Industrials,2018-11-05
260,1752,-0.09090909090909105,8363,0.7666666666666666,Academic & Educational Services,2018-11-05
261,2119,0.056074766355139305,8108,0.061224489795918435,Consumer Non-Cyclicals,2018-11-05
262,1598,-0.5497076023391807,8363,0.38333333333333197,Academic & Educational Services,2018-05-29
263,1978,-0.4935064935064928,8010,0.0,Consumer Cyclicals,2018-05-30
264,1757,-0.5439024390243911,8188,-0.010526315789477603,Industrials,2018-07-06
265,1806,-0.44712990936555885,8188,-0.32727272727272905,Industrials,2018-06-15
266,2003,-0.6332518337408315,310,-0.5072463768115947,Financials,2018-06-21
267,1916,-0.21996879875195086,310,-0.5156249999999994,Financials,2018-06-26
268,1749,-0.69054441260745,8010,0.0,Consumer Cyclicals,2018-06-27
269,1587,-0.13793103448275834,8108,-0.2238805970149269,Consumer Non-Cyclicals,2018-06-27
270,1620,-0.32112676056337996,8010,0.0,Consumer Cyclicals,2018-06-28
271,6100,-0.36307692307692385,8188,0.021276595744678994,Industrials,2018-06-29
272,1810,-0.4496969696969716,8249,-0.2666666666666673,Technology,2018-09-07
273,1652,1.2049180327868876,8161,0.09375000000000244,Healthcare,2018-11-07
274,1746,0.9230769230769216,8188,0.7608695652173865,Industrials,2018-11-07
275,6860,-0.6511627906976746,8249,-0.3428571428571435,Technology,2018-12-07
276,3700,-0.4976744186046512,8249,-0.3428571428571435,Technology,2018-12-07
277,1760,0.006944444444444642,8010,0.0,Consumer Cyclicals,2018-12-07
278,1996,-0.08888888888888913,8426,0.005952380952381597,Real Estate,2018-12-07
279,1773,1.3703703703703685,8363,0.5441176470588236,Academic & Educational Services,2018-12-07
280,2051,-0.5681318681318677,8249,0.5384615384615383,Technology,2018-07-13
281,1775,-0.5454545454545457,8363,0.6363636363636362,Academic & Educational Services,2018-07-13
