,Type,RIC
643,K:OLAN,0217
644,K:ZZNO,2371
645,K:CCIN,1969
646,K:WHYN,2349
647,K:EEG,8078
648,K:CHDT,1798
649,K:TEMF,0661
650,K:CMED,8120
651,K:CDBF,1606
652,K:KANH,8175
653,K:CDVH,8280
654,K:CHDN,3818
655,K:XDHL,0871
656,K:ELER,0476
657,K:PSTK,8055
658,K:RCGH,0802
659,K:LFAN,8166
660,K:WSAN,0085
661,K:CAST,1185
662,K:HOPO,0228
663,K:CEEC,3996
664,K:NAMH,0986
665,K:YWAY,0646
666,K:BFUN,1130
667,K:PME,0379
668,K:CEBL,1257
669,K:CORA,0875
670,K:KPIC,0605
671,K:PRIN,0721
672,K:CVCT,1269
673,K:SEAB,0506
674,K:FORD,2399
675,K:YSH,0290
676,K:FOTE,0110
677,K:CFUT,8506
678,K:WTIN,1191
679,K:CGEG,1851
680,K:CHGL,3300
681,K:CGCG,8281
682,K:CGRN,0904
683,K:GRFR,6183
684,K:BROA,1253
685,K:CHAJ,0359
686,K:CHNH,3788
687,K:CHAH,3836
688,K:VPHM,8225
689,K:LNCN,0348
690,K:CHPA,0591
691,K:CHSP,0658
692,K:CHH2,8646
693,K:CRHI,1101
694,K:CHFH,1290
695,K:CHUI,1886
696,K:CISI,6058
697,K:XTMS,8178
698,K:DAWA,0600
699,K:SITI,1217
700,K:CHCO,0264
701,K:CTRE,0810
702,K:FMAN,1226
703,K:EVRE,0204
704,K:CINV,0132
705,K:CHTT,1763
706,K:CIHC,1900
707,K:JUHL,1027
708,K:CKMH,1380
709,K:CLIH,1586
710,K:CLIL,1234
711,K:ARTL,0931
712,K:SIJI,1863
713,K:WMHL,1371
714,K:CLTC,2023
715,K:LUME,0067
716,K:CMEC,1829
717,K:MAPZ,1317
718,K:PAGI,0383
719,K:CHMC,0133
720,K:TON,0978
721,K:ULMM,1636
722,K:SINK,0245
723,K:CMDH,1117
724,K:CHIB,0026
725,K:WGHG,0745
726,K:ESIL,8071
727,K:CCCL,1321
728,K:CHKE,2001
729,K:CNT,1278
730,K:CHNF,1258
731,K:CNTC,1011
732,K:TACK,0611
733,K:IAIN,8047
734,K:WONS,0651
735,K:RING,0715
736,K:GOPO,0603
737,K:FAIS,8132
738,K:CHOR,0581
739,K:COI1,1871
