,Type,RIC
1173,K:GCIH,0844
1174,K:GVAP,0468
1175,K:KINZ,8315
1176,K:OLS,0979
1177,K:SUGH,2700
1178,K:TVEN,0061
1179,K:TOME,0094
1180,K:SPGL,0337
1181,K:VITR,0195
1182,K:GRMH,9979
1183,K:CPML,2133
1184,K:GFFH,1084
1185,K:CMT,0989
1186,K:GUGI,1842
1187,K:POLY,0263
1188,K:GTCG,8402
1189,K:ADDC,3344
1190,K:GUCH,1872
1191,K:GDWY,6189
1192,K:GJSF,1543
1193,K:GNGD,3689
1194,K:GUA,0124
1195,K:GNTN,1058
1196,K:GUAG,1203
1197,K:GHEN,0525
1198,K:GDOU,8308
1199,K:GLTH,0143
1200,K:GTEG,1296
1201,K:GLSC,1456
1202,K:GUOY,2329
1203,K:GURU,8121
1204,K:HHCH,2255
1205,K:HLAN,2278
1206,K:SLNK,2336
1207,K:HIEI,1645
1208,K:HHIL,1659
1209,K:HAFH,1920
1210,K:HCHL,8405
1211,K:FGG,1682
1212,K:HSA,3626
1213,K:CTEC,8081
1214,K:HAYH,1894
1215,K:FEIS,8331
1216,K:HHNH,3903
1217,K:HANI,0896
1218,K:LMH,0554
1219,K:HANV,8219
1220,K:HAOB,8431
1221,K:WINB,0474
1222,K:CLHL,1341
1223,K:EBPH,8019
1224,K:HABL,6138
1225,K:HARP,1133
1226,K:HARB,0051
1227,K:HARM,1509
1228,K:HUIL,1905
1229,K:HCI,2280
1230,K:HTHK,0215
1231,K:HEBE,1727
1232,K:HBEY,1596
1233,K:HJEH,6885
1234,K:HENI,0097
1235,K:HEHH,1891
1236,K:HETA,0197
1237,K:XHEN,3389
1238,K:HNGG,1476
1239,K:HXNT,1085
1240,K:HGHC,2303
1241,K:HERD,0114
1242,K:HESG,6093
1243,K:HILV,8113
1244,K:GBI,0818
1245,K:HIDI,1393
1246,K:KTLH,0442
1247,K:HFIN,0608
1248,K:HHLI,1623
1249,K:HISA,6893
1250,K:HING,0396
1251,K:HGMG,8425
1252,K:HINH,1968
1253,K:IONE,0982
1254,K:HKAH,1723
1255,K:KUMA,0190
1256,K:HKC,0248
1257,K:HKEE,1726
1258,K:HKRI,0480
1259,K:HMIT,8416
1260,K:SYTE,8103
1261,K:ACS,2086
1262,K:HLFT,3678
1263,K:HOCI,1747
1264,K:HOIT,3798
1265,K:HON,8259
1266,K:HONK,0160
1267,K:JESS,8137
1268,K:BDLN,0145
1269,K:SAMW,2322
1270,K:HKCB,0655
1271,K:HECO,0423
1272,K:MEGL,1082
1273,K:HYFE,0050
1274,K:HKFG,1273
1275,K:KATH,0007
1276,K:YOAH,0060
1277,K:HKJH,1955
1278,K:NCMD,8085
1279,K:OGC,2882
1280,K:VANS,1001
1281,K:HWHD,8191
1282,K:HGLT,6908
1283,K:HGHG,0196
1284,K:HOLV,9906
1285,K:HMGF,6858
1286,K:HWLD,2226
1287,K:HPFG,2320
1288,K:HOIL,0047
1289,K:LCGH,1683
1290,K:HPFT,0733
1291,K:HSPL,3869
1292,K:HPCH,1742
1293,K:HHBP,0587
1294,K:HULI,0969
1295,K:HUAM,2552
1296,K:GTHL,3638
1297,K:HUI,0816
1298,K:SHPO,1071
1299,K:HUIH,2738
1300,K:NISL,0377
1301,K:HUBH,8622
1302,K:HUUG,1756
1303,K:ROCK,1003
1304,K:HGGH,2296
1305,K:SIMS,0993
1306,K:CHUY,2277
1307,K:NGHL,1323
1308,K:HHCC,1689
1309,K:UAPP,0419
1310,K:HEWX,1823
1311,K:HTHL,1673
1312,K:HHCL,6830
1313,K:HUIF,1806
1314,K:HULL,1303
1315,K:HBCL,3698
1316,K:HIHZ,1340
1317,K:VTOP,1178
1318,K:HHHL,1419
1319,K:HFTG,1446
1320,K:HUNG,0450
1321,K:PNTR,1611
1322,K:FRAN,0704
1323,K:WHIM,1188
1324,K:HYFU,8512
1325,K:HYGG,1650
1326,K:HYPL,0150
1327,K:ICEN,8507
1328,K:ICON,1402
1329,K:ICAB,1097
1330,K:IAGH,8513
1331,K:IBGH,1547
1332,K:IBOT,2708
1333,K:ICIC,8429
1334,K:ICOG,1460
1335,K:ICCG,8500
1336,K:SHCH,0650
1337,K:IDRT,1119
1338,K:IDTI,0167
1339,K:BOTO,0585
1340,K:IMXC,1970
1341,K:IMMB,6978
1342,K:FNAT,1076
1343,K:JFHF,0776
1344,K:IMPI,1286
1345,K:IMSG,8136
1346,K:INCO,1500
1347,K:INDI,8373
1348,K:ICHC,0640
1349,K:ILTV,1442
1350,K:INKE,3700
1351,K:IMEE,1649
1352,K:ITEC,8202
1353,K:FEPT,0399
1354,K:INNX,2680
1355,K:LCHA,0596
1356,K:FOOK,0923
1357,K:INGH,6819
1358,K:HKCY,1009
1359,K:IHRC,1373
1360,K:INAF,1563
1361,K:HKDN,0147
1362,K:INTO,1760
1363,K:HLTG,1087
1364,K:IPE,0929
1365,K:MCHI,8186
1366,K:IRC,1029
1367,K:IRIC,0438
1368,K:ISPG,8487
1369,K:ITLD,0999
1370,K:CHET,0199
1371,K:ITE,8092
1372,K:ITPH,8446
1373,K:IVMH,1931
1374,K:IWGH,8441
1375,K:JCBS,2633
1376,K:JNCO,8035
1377,K:JBBI,1903
1378,K:JETE,8133
1379,K:JHET,1935
1380,K:JIAG,8519
1381,K:JYJY,1626
1382,K:JIHG,1937
1383,K:JSHH,0602
1384,K:JEPS,8165
1385,K:FSTM,0865
1386,K:JGLD,1366
1387,K:JSIN,2116
1388,K:JNAN,8045
1389,K:JXBH,1916
1390,K:JICD,0589
1391,K:JIAS,1285
1392,K:JIGG,9908
1393,K:JCHA,8049
1394,K:JJCB,6122
1395,K:JPCH,1853
1396,K:ESM,8187
1397,K:JGRI,1862
1398,K:KKKG,2225
1399,K:JINH,0137
1400,K:JINB,2558
1401,K:SHAC,2728
1402,K:MITS,2358
1403,K:JZDI,1961
1404,K:JIYI,1495
1405,K:JLO,8527
1406,K:JNBY,3306
1407,K:JOLI,2028
1408,K:MINR,0207
1409,K:JTFI,8479
1410,K:JUTE,3336
1411,K:JUJI,1459
1412,K:JUAH,1425
1413,K:JUTA,3303
1414,K:JYGH,2231
1415,K:KGHS,8475
1416,K:KWNL,8411
1417,K:KPIN,0675
1418,K:KCIH,2108
1419,K:KSHU,0822
1420,K:KADH,0180
1421,K:WAHL,1215
1422,K:WINE,0876
1423,K:KAPH,2168
1424,K:ULTG,8203
1425,K:KAMH,2307
1426,K:KIEC,6136
1427,K:KAIH,6890
1428,K:KANT,1059
1429,K:KARI,1050
1430,K:KASN,0496
1431,K:KHKH,2189
1432,K:KECS,0184
1433,K:KEEN,8070
1434,K:KELH,1134
1435,K:MDEN,0009
1436,K:KFMK,3816
1437,K:KHGH,1557
1438,K:KHOO,0924
1439,K:KDLO,3830
1440,K:KIHT,2122
1441,K:KIDH,6918
1442,K:KIEH,6805
1443,K:KINP,1722
1444,K:KSHG,1630
1445,K:KYH,0638
1446,K:KNRG,3302
1447,K:KMEL,1277
1448,K:KINE,8606
1449,K:KING,0280
1450,K:SWAN,0663
1451,K:KNGF,6822
1452,K:ARTY,1421
1453,K:KDOM,0528
1454,K:UKFH,1468
1455,K:SNGO,1751
1456,K:KIFO,1170
1457,K:SITR,1195
1458,K:KWMG,1110
1459,K:KIN2,9939
1460,K:CREN,8109
1461,K:KIUH,0381
1462,K:PAND,0550
1463,K:KMLT,8065
1464,K:KNKH,8039
1465,K:KNTH,1025
1466,K:KOYO,0827
1467,K:SONA,8226
1468,K:PEAC,0295
1469,K:KOIH,8042
1470,K:KPAB,2663
1471,K:KPMH,8027
1472,K:CLMX,0439
1473,K:DCWT,3768
1474,K:KWAN,1559
1475,K:KWYH,9998
1476,K:KWMK,8023
1477,K:KWOO,0306
1478,K:KWSH,1925
1479,K:LAIZ,8195
1480,K:CLFB,1262
1481,K:LFH,1125
1482,K:LAIG,8455
1483,K:LASI,2266
1484,K:LAID,0488
1485,K:LAIS,0191
1486,K:SADE,8172
1487,K:LAMS,0411
1488,K:TAFU,1041
1489,K:GFCH,0582
1490,K:CRSD,0106
1491,K:LHIL,1270
1492,K:LPHL,0503
1493,K:LZPC,1533
1494,K:LKEL,1690
1495,K:LCHL,8472
1496,K:ETRN,8351
1497,K:LAUN,2488
1498,K:LESA,0738
1499,K:LEAE,1449
1500,K:LEEM,0746
1501,K:LEHD,0068
1502,K:LEEK,0637
1503,K:LEEP,0950
1504,K:LPRT,0387
1505,K:LEFP,1540
1506,K:LSIT,1355
1507,K:LITL,0842
1508,K:LERA,1225
1509,K:CHIC,0112
1510,K:LEVS,1346
1511,K:LFIH,3938
1512,K:LH,1978
1513,K:LBGG,1869
1514,K:LHS,0980
1515,K:DING,8056
1516,K:TFAT,0928
1517,K:LCGL,2136
1518,K:KONZ,8267
1519,K:LYHG,0784
1520,K:LING,3330
1521,K:LINK,8237
1522,K:TEIH,1143
1523,K:LCHD,8383
1524,K:PRIL,1127
1525,K:LIPP,0226
1526,K:HKCH,0156
1527,K:LIPH,9958
1528,K:LICH,0194
1529,K:LKTH,0558
1530,K:LKSH,1867
1531,K:LOCO,8162
1532,K:WSCM,0850
1533,K:GDH,1007
1534,K:KSCH,1281
1535,K:LFAR,2898
1536,K:WAFE,8198
1537,K:LOHH,6063
1538,K:LTHA,0311
1539,K:LUWO,8217
1540,K:LKHN,8052
1541,K:LUKS,0366
1542,K:LUMG,1162
1543,K:LUNG,0255
1544,K:IHTG,8041
1545,K:TIMY,1327
1546,K:LUZH,1461
1547,K:LCCB,1983
1548,K:LXNG,2281
1549,K:LVTH,1745
1550,K:MALH,8152
1551,K:MABP,2181
1552,K:MLDL,1680
1553,K:HUD,0758
1554,K:MWHL,8057
1555,K:MAGE,0201
1556,K:MIDA,1172
1557,K:MTIH,1553
1558,K:MLHW,1100
1559,K:MJHL,1389
1560,K:MANK,2193
1561,K:MSI,0938
1562,K:MHNG,8309
1563,K:MANG,1746
1564,K:MANY,0894
1565,K:MAGC,2180
1566,K:MNSI,8456
1567,K:MAOY,0848
1568,K:FIRS,0273
1569,K:MAGN,0275
1570,K:MATR,1005
1571,K:MXSY,8483
1572,K:MAXH,8216
1573,K:DAIW,1037
1574,K:MAYR,1116
1575,K:MBVI,1957
1576,K:MECO,1183
1577,K:ROJA,8075
1578,K:MPAO,0685
1579,K:MEGS,2230
1580,K:MDCK,8307
1581,K:MGL,8161
1582,K:MEIA,0391
1583,K:MEIG,8349
1584,K:JIWA,2327
1585,K:MEIT,1357
1586,K:MELE,0158
1587,K:TEAS,8163
1588,K:MECH,8621
1589,K:ASEN,0022
1590,K:MMMH,8473
1591,K:MCRE,1985
1592,K:MIDL,1200
1593,K:EVI,0459
1594,K:MIEH,1555
1595,K:MIJI,1715
1596,K:MKIL,1247
1597,K:MSHL,1150
1598,K:MLTN,1667
1599,K:MILL,8147
1600,K:MICH,2892
1601,K:MHIH,1897
1602,K:ODEL,8093
1603,K:MIXN,0222
1604,K:MIN1,8611
1605,K:MNGI,3828
1606,K:INVS,1106
1607,K:MNGF,0846
1608,K:ONFE,0230
1609,K:FDWS,1632
1610,K:MNSH,1569
1611,K:MIRH,0071
1612,K:MRCR,1827
1613,K:MOBD,0947
1614,K:MOBI,1213
1615,K:CPHD,1439
1616,K:MOBV,1860
1617,K:MDGL,3600
1618,K:MOBS,0919
1619,K:MLCI,1107
1620,K:MODE,8426
1621,K:MMHL,0072
1622,K:MOGH,1942
1623,K:MOIS,0130
1624,K:FORL,1152
1625,K:PAPR,0276
1626,K:MOM,0975
1627,K:WTHL,1400
1628,K:MRRS,1575
1629,K:MOHG,1653
1630,K:MKCG,1716
1631,K:MSCO,8447
1632,K:MSGH,1451
1633,K:MUGH,1817
1634,K:MULF,0898
1635,K:BDBR,8297
1636,K:NHL,1982
1637,K:TEAM,0680
1638,K:ARTF,1229
1639,K:NNFG,1617
1640,K:NJST,1708
1641,K:NSUT,3332
1642,K:NANY,0212
1643,K:NARK,8607
1644,K:VTEX,8228
1645,K:NEHL,0213
1646,K:FASC,1227
1647,K:LIFA,0254
1648,K:NBBT,0157
1649,K:LINH,0462
1650,K:NFIH,1837
1651,K:CFHC,2083
1652,K:B&S,8167
1653,K:NEON,1868
1654,K:NTEL,8256
1655,K:MULT,0234
1656,K:NCHC,1518
1657,K:NCRE,1275
1658,K:RHIN,0456
1659,K:NCHL,2221
1660,K:NFOC,0360
1661,K:BEP,2326
1662,K:NRMI,6108
1663,K:RJPH,0472
1664,K:PCHA,0166
1665,K:SMDI,0436
1666,K:MTHL,8242
1667,K:NWDS,0825
1668,K:CHUN,0055
1669,K:NEWT,9911
1670,K:KOSO,0342
1671,K:NERT,1231
1672,K:NXNT,8420
1673,K:PARA,0282
1674,K:NGAH,1047
1675,K:NNCH,8490
1676,K:GRAN,0186
1677,K:NIRA,1245
1678,K:NNKG,3773
1679,K:NEGH,8445
1680,K:NOTH,8645
1681,K:NONS,9633
1682,K:ISTE,8080
1683,K:MKIC,0433
1684,K:MEHL,1360
1685,K:NOTG,8635
1686,K:NVCL,2222
1687,K:ONCG,0877
1688,K:OCEL,8502
1689,K:OCHC,8476
1690,K:GDRA,0329
1691,K:OWPC,1319
1692,K:LEPH,1499
1693,K:OKRA,1655
1694,K:OMHL,8462
1695,K:ORIH,8245
1696,K:OMG,0426
1697,K:ONEF,1933
1698,K:OOHL,8091
1699,K:OPAG,8418
1700,K:ORTC,8627
1701,K:GHAR,1132
1702,K:OSID,8001
1703,K:SCHI,0265
1704,K:LINF,0430
1705,K:OPGH,8613
1706,K:ORIP,0018
1707,K:ARTZ,8067
1708,K:ORWA,0398
1709,K:RIGH,0622
1710,K:OURG,6899
1711,K:HALI,3366
1712,K:OZNE,2014
1713,K:PSPS,0574
1714,K:PBSH,2343
1715,K:CPBM,0432
1716,K:PACL,8547
1717,K:PMPG,1820
1718,K:PACO,0543
1719,K:PTHL,1382
1720,K:WINW,1010
1721,K:PFYI,0239
1722,K:PATA,2668
1723,K:PAKW,8316
1724,K:PALH,1703
1725,K:PALA,0495
1726,K:PALD,0617
1727,K:MACF,1561
1728,K:PANA,0556
1729,K:PHCL,2078
1730,K:GAYG,0686
1731,K:YIP,1180
1732,K:PARK,3368
1733,K:PGTL,0327
1734,K:PCPA,1263
1735,K:PEGA,0676
1736,K:PEIH,2885
1737,K:MITH,0618
1738,K:PENT,1665
1739,K:PEEH,2798
1740,K:PERE,0725
1741,K:PERI,3326
1742,K:PRFT,8311
1743,K:PSHL,1830
1744,K:PFIH,0765
1745,K:PRST,3395
1746,K:PETK,2178
1747,K:PFGH,8221
1748,K:PFCD,8231
1749,K:CLIN,8066
1750,K:PHOX,2008
1751,K:PICO,0752
1752,K:PINC,1989
1753,K:PINE,1079
1754,K:PINO,0804
1755,K:FARY,0231
1756,K:PION,0224
1757,K:PIEH,1865
1758,K:A&K,8053
1759,K:YUGA,0613
1760,K:PLNI,1949
1761,K:PLTO,0635
1762,K:PLAY,0869
1763,K:PLVR,1523
1764,K:POKF,0225
1765,K:PPCT,3636
1766,K:CMAR,0119
1767,K:KSTR,8011
1768,K:PLYF,8532
1769,K:KIND,0208
1770,K:RECO,0397
1771,K:PWLD,8236
1772,K:PPIH,8201
1773,K:PDTH,1861
1774,K:PTCC,1651
1775,K:PRNS,8379
1776,K:PRI1,1809
1777,K:PRTH,1581
1778,K:PCHL,6816
1779,K:TTIH,1470
1780,K:SCII,0310
1781,K:REIT,0808
1782,K:PFIT,1259
1783,K:PROI,1731
1784,K:PRPR,8385
1785,K:PRSP,0803
1786,K:HOIS,0372
1787,K:JCGH,0626
1788,K:PUIG,2060
1789,K:PURA,1498
1790,K:PCNG,1720
1791,K:AMBR,0090
1792,K:PWTM,1358
1793,K:PAUL,0498
1794,K:QPGH,1412
1795,K:QEEK,1739
1796,K:HFGN,0911
1797,K:HHAH,1280
1798,K:QILU,1576
1799,K:PLOT,0499
1800,K:QPIC,6198
1801,K:QING,1122
1802,K:QINH,3369
1803,K:QFGC,1583
1804,K:QPLI,0243
1805,K:QSHL,1348
1806,K:FLEX,8050
1807,K:QHMC,1577
1808,K:GRSE,0601
1809,K:RAFI,1376
1810,K:RAYM,0229
1811,K:RNHL,8471
1812,K:RUIN,2010
1813,K:CHEO,1196
1814,K:REDS,1528
1815,K:REDP,1996
1816,K:RESG,1971
1817,K:REFH,1631
1818,K:REGH,0078
1819,K:REGL,1881
1820,K:REG,0575
1821,K:RMIL,2199
1822,K:ANEX,0723
1823,K:REMG,1750
1824,K:TSRH,2323
1825,K:RENE,3628
1826,K:RHRT,6919
1827,K:FFIT,0885
1828,K:REPH,8357
1829,K:OSKA,0555
1830,K:SHC1,1741
1831,K:MDAR,0070
1832,K:DICO,0313
1833,K:RICI,1526
1834,K:RIGG,1953
1835,K:RCGS,1679
1836,K:RITG,1936
1837,K:RIVA,0281
1838,K:RCHH,1417
1839,K:RIPJ,6117
1840,K:RMHH,8437
1841,K:RDKI,1098
1842,K:RGLD,8072
1843,K:DRAG,0578
1844,K:RYCA,8300
1845,K:KATE,8125
1846,K:RYDX,3789
1847,K:CHIT,1198
1848,K:RREE,0625
1849,K:RUMG,1640
1850,K:RUPG,2025
1851,K:MISE,0724
1852,K:SUND,2288
1853,K:SALG,1832
1854,K:SNPH,1695
1855,K:STH,3928
1856,K:SCIH,1255
1857,K:SASA,0178
1858,K:SAFE,0237
1859,K:SAWO,3822
1860,K:SAMH,0531
1861,K:SAMS,0731
1862,K:SANM,0236
1863,K:NUYI,1889
1864,K:SANB,8501
1865,K:SAND,0482
1866,K:SHHI,1472
1867,K:LPDL,2183
1868,K:SFCG,0301
1869,K:SASD,1184
1870,K:SHDG,8392
1871,K:SSAN,8200
1872,K:SCUD,1399
1873,K:SDMG,8363
1874,K:SEAH,0251
1875,K:FSTH,8150
1876,K:PROD,0205
1877,K:SEMH,9929
1878,K:SFKH,1447
1879,K:HANB,1367
1880,K:SGGH,1657
1881,K:SHGP,1637
1882,K:NWI,8258
1883,K:SHFU,1385
1884,K:SFZB,1349
1885,K:SRCA,1835
1886,K:SHAF,9977
1887,K:SHAN,1697
1888,K:SDML,0568
1889,K:SHDO,1103
1890,K:SDAF,2718
1891,K:SGEG,1525
1892,K:SHBT,6826
1893,K:SHHB,2696
1894,K:VINC,0563
1895,K:JWHB,8205
1896,K:SJIN,2006
1897,K:SHJB,1877
1898,K:SKMI,1501
1899,K:LACH,6116
1900,K:SPRI,2345
1901,K:SQFF,8115
1902,K:FSTI,0755
1903,K:SHAB,1749
1904,K:CCOE,8286
1905,K:MEI,0953
1906,K:STHL,1335
1907,K:SHYU,8377
1908,K:SYCL,6069
1909,K:MAE,0851
1910,K:ZHLA,8106
1911,K:ONGP,1080
1912,K:SLSL,8481
1913,K:SHHG,0829
1914,K:HK6,8206
1915,K:SHGI,0218
1916,K:SPU,0747
1917,K:SMAH,8301
1918,K:SNEP,8329
1919,K:SHMH,8523
1920,K:SHYE,1633
1921,K:KSUP,8181
1922,K:SFHL,1831
1923,K:SALA,1930
1924,K:SHI1,1587
1925,K:SDSH,0312
1926,K:HOWL,0737
1927,K:EAST,0103
1928,K:KINV,0730
1929,K:SHHY,1706
1930,K:SHHL,1241
1931,K:SHUI,0272
1932,K:SHHO,0253
1933,K:SHUN,0219
1934,K:SHTE,0242
1935,K:SHNW,1591
1936,K:SPIL,1165
1937,K:RMGH,0932
1938,K:RNTX,1142
1939,K:SEID,1713
1940,K:SLJS,2606
1941,K:SIC,0107
1942,K:SPH,0460
1943,K:PLSM,8250
1944,K:PEA,0988
1945,K:SILB,0886
1946,K:SILG,0171
1947,K:SIT1,1943
1948,K:SIMT,2000
1949,K:SMLY,8367
1950,K:SINC,0244
1951,K:SINW,0444
1952,K:SIPH,6833
1953,K:SLS,8076
1954,K:PERF,1105
1955,K:SICO,0716
1956,K:SIFH,8496
1957,K:SING,8293
1958,K:AGHL,1096
1959,K:SGH1,1759
1960,K:SGOF,0361
1961,K:SHPG,1663
1962,K:SINH,1221
1963,K:SUET,0365
1964,K:PNF,0702
1965,K:SPRO,0766
1966,K:HKCO,8006
1967,K:EPRO,8086
1968,K:SETH,6933
1969,K:SSTX,0250
1970,K:SNLG,8296
1971,K:WATK,0297
1972,K:STKM,8123
1973,K:SINL,1168
1974,K:SINB,3681
1975,K:SMAX,1418
1976,K:SINM,0623
1977,K:SPEG,2386
1978,K:SIKA,0934
1979,K:BEE,8156
1980,K:STGI,1297
1981,K:STRN,0598
1982,K:SIHI,0529
1983,K:SISM,1362
1984,K:SMOR,1696
1985,K:SGHL,1023
1986,K:SKTG,8427
1987,K:GRCH,0141
1988,K:SKYL,3882
1989,K:ANKO,0059
1990,K:SKYD,0751
1991,K:SLGH,8285
1992,K:SMGL,8485
1993,K:SMRT,2166
1994,K:AZIR,0395
1995,K:SMAR,0315
1996,K:2381,2381
1997,K:QJYM,2366
1998,K:LUCK,0198
1999,K:SMHL,2239
2000,K:SNAE,1843
2001,K:SHOC,0983
2002,K:WTBK,0380
2003,K:SOLR,0757
2004,K:SOLA,1166
2005,K:SOLI,2227
2006,K:SOLO,2878
2007,K:SMRY,8439
2008,K:SGL,0967
2009,K:SNDW,0878
2010,K:CPUB,8155
2011,K:SCHB,0619
2012,K:SCIN,0413
2013,K:CAMP,0577
2014,K:SEAP,0252
2015,K:CUGL,1573
2016,K:TANR,0812
2017,K:SGPH,2448
2018,K:GFC,0970
2019,K:SPEE,3860
2020,K:SGHG,0540
2021,K:SREI,1426
2022,K:SPR1,1401
2023,K:SPTE,1251
2024,K:TROC,1207
2025,K:STIN,8521
2026,K:STPR,1560
2027,K:ARMT,8213
2028,K:KARC,1159
2029,K:STRL,0403
2030,K:SLVH,1616
2031,K:TAK,0918
2032,K:SOCL,8277
2033,K:FDBH,1826
2034,K:STLI,1836
2035,K:STEL,0084
2036,K:STGH,1825
2037,K:STEV,2262
2038,K:SIGP,8401
2039,K:STPC,0852
2040,K:STYL,0211
2041,K:IDEA,1182
2042,K:SUMC,0487
2043,K:SGCL,1430
2044,K:SUGA,0912
2045,K:TIFR,0756
2046,K:ARNH,0102
2047,K:SCCD,1781
2048,K:INFO,8082
2049,K:SUNH,1975
2050,K:SHVG,0125
2051,K:SHCO,0086
2052,K:LPLI,8029
2053,K:SUKH,8631
2054,K:SKP,0580
2055,K:HONG,1383
2056,K:HBIN,1063
2057,K:SUDR,1568
2058,K:SFFG,1771
2059,K:SUNS,8451
2060,K:SUNR,0435
2061,K:SUTH,1950
2062,K:SUEG,8616
2063,K:SSSH,2608
2064,K:SS0L,2012
2065,K:SWKC,0188
2066,K:SWAY,0058
2067,K:SUOH,3680
2068,K:SSHL,8262
2069,K:ALLP,0176
2070,K:SUG1,0368
2071,K:BLU,8176
2072,K:SYMP,1223
2073,K:SYG,2340
2074,K:SYGR,1539
2075,K:SYCC,1613
2076,K:TAYA,1991
2077,K:TCPC,0088
2078,K:THGH,6811
2079,K:TAIK,8321
2080,K:TPIN,0146
2081,K:TSLD,0089
2082,K:LUEN,0718
2083,K:TTCH,6193
2084,K:TAWG,1542
2085,K:TLMH,2102
2086,K:TGHD,8436
2087,K:TIHL,0760
2088,K:TANC,0693
2089,K:TPHL,1181
2090,K:XIAO,3666
2091,K:TAOH,0573
2092,K:TRGT,6161
2093,K:TGGP,8371
2094,K:TACH,8096
2095,K:CIGW,0621
2096,K:TBSH,1960
2097,K:JBBH,1239
2098,K:TILD,1206
2099,K:TDHL,6033
2100,K:TSOH,3997
2101,K:TVB1,0511
2102,K:TMH,8346
2103,K:OTOH,6880
2104,K:TPGH,1979
2105,K:TENF,6868
2106,K:TWOW,1219
2107,K:TERM,0093
2108,K:TERP,0277
2109,K:KITH,1201
2110,K:TTGL,2678
2111,K:TEXW,0321
2112,K:MORN,0542
2113,K:TDGL,1546
2114,K:THEM,0990
2115,K:THNG,2292
2116,K:THIZ,8119
2117,K:TIAN,0028
2118,K:TCGP,2182
2119,K:TGET,1980
2120,K:TSDH,2118
2121,K:TECK,0266
2122,K:TYGH,6119
2123,K:HANS,0455
2124,K:TCHL,0609
2125,K:TIIC,0826
2126,K:TNBT,8348
2127,K:TDEV,0882
2128,K:TTPU,1265
2129,K:TIAP,3382
2130,K:TTB,8189
2131,K:TJTE,1671
2132,K:EYAN,0117
2133,K:TIYU,6836
2134,K:TWRH,1115
2135,K:TILE,1790
2136,K:TMIN,1729
2137,K:TWIL,2033
2138,K:TIME,8028
2139,K:KWAS,2310
2140,K:GEMZ,1192
2141,K:TKHL,2283
2142,K:TLNA,8536
2143,K:TCAH,1939
2144,K:TOMC,2383
2145,K:TMHL,6928
2146,K:TOMP,0258
2147,K:TONG,8305
2148,K:TRTT,1666
2149,K:TGDA,0698
2150,K:THTH,2363
2151,K:ACHT,1312
2152,K:GITC,0340
2153,K:JCHH,8326
2154,K:TEHL,1249
2155,K:TOPE,1752
2156,K:FORM,0333
2157,K:TSIH,3688
2158,K:TPST,8510
2159,K:TOBI,1875
2160,K:TORH,1692
2161,K:TRAF,8017
2162,K:TLEC,0536
2163,K:PEHL,1326
2164,K:KOWM,0062
2165,K:TOSH,8465
2166,K:TEAE,1235
2167,K:TREE,8395
2168,K:TGTG,1300
2169,K:TRNT,0891
2170,K:TRIO,1710
2171,K:TRIS,0458
2172,K:TRUL,0732
2173,K:TSWH,1767
2174,K:TSAK,1986
2175,K:EMER,0206
2176,K:TSES,0417
2177,K:TSIT,2119
2178,K:TWHL,1314
2179,K:TUYH,1701
2180,K:TUNG,0518
2181,K:JAST,0872
2182,K:TWNT,6182
2183,K:TOWN,3886
2184,K:TYG1,3390
2185,K:CHEE,0687
2186,K:UBQG,1483
2187,K:ULFR,1711
2188,K:UMPH,0722
2189,K:NSPR,0690
2190,K:PANO,8173
2191,K:UMHL,2138
2192,K:CFGL,8020
2193,K:USPH,2337
2194,K:JTPH,2211
2195,K:UNSH,2346
2196,K:UVTE,1026
2197,K:UNVP,8448
2198,K:UNIV,1046
2199,K:LEUK,0307
2200,K:UPBE,0335
2201,K:UTSM,6113
2202,K:YANI,0082
2203,K:IAST,0821
2204,K:VALP,0806
2205,K:VACI,1740
2206,K:WNSP,1036
2207,K:VANT,0015
2208,K:VBGL,8365
2209,K:VCRE,2003
2210,K:VEDA,2317
2211,K:VEEK,1173
2212,K:VERT,8375
2213,K:WALK,1386
2214,K:VCOO,1621
2215,K:VICO,3878
2216,K:VICT,0539
2217,K:VIC,1139
2218,K:VSEC,8540
2219,K:VIET,0422
2220,K:VMED,1612
2221,K:VNCF,8340
2222,K:VECL,1565
2223,K:VFIH,1315
2224,K:VILT,8107
2225,K:WAHY,0862
2226,K:VSTR,8535
2227,K:VTMB,6133
2228,K:GRTC,8032
2229,K:VXTL,1782
2230,K:VOBI,3738
2231,K:VTEL,8033
2232,K:KAMB,0318
2233,K:VPWR,1608
2234,K:VSIG,1002
2235,K:VST,0856
2236,K:WACH,8619
2237,K:WHAR,0278
2238,K:WAHS,2683
2239,K:WWHG,9938
2240,K:WAIC,1305
2241,K:NORI,0660
2242,K:CHNT,1013
2243,K:WHGH,3321
2244,K:WAIK,0610
2245,K:DALY,0897
2246,K:WCPM,8291
2247,K:WANK,1718
2248,K:WLIL,8482
2249,K:CFAI,0169
2250,K:WANG,1222
2251,K:WOPL,1243
2252,K:WIMG,3939
2253,K:WANJ,0401
2254,K:WAN1,1762
2255,K:WASI,3393
2256,K:H2O,1161
2257,K:WIME,2258
2258,K:WGH,8269
2259,K:WWWG,3848
2260,K:WECH,1793
2261,K:WEYH,1343
2262,K:WETG,1845
2263,K:WXT,2698
2264,K:WHL,1570
2265,K:WEG1,1802
2266,K:WENZ,2120
2267,K:WCC,2233
2268,K:WINH,3322
2269,K:WDML,1850
2270,K:WNES,8509
2271,K:WINF,0287
2272,K:FXCR,0183
