,Instrument,IPO Date,Turnover,Relative Valuation EV/EBITDA Component,Outstanding Shares,TRBC Economic Sector Name
136,1499.HK,2/9/2015,290820,4,5376580000,Industrials
137,1683.HK,8/9/2015,,13,500000000,Consumer Cyclicals
138,0974.HK,10/9/2015,,55,290457000,Consumer Non-Cyclicals
139,1970.HK,8/10/2015,1626274,51,348063015,Consumer Cyclicals
140,2199.HK,8/10/2015,586040,85,1224250000,Consumer Cyclicals
141,1527.HK,12/10/2015,,99,135000000,Industrials
142,1476.HK,15/10/2015,,,2604567412,Financials
143,1533.HK,15/10/2015,9000,7,35130000,Consumer Non-Cyclicals
144,1532.HK,16/10/2015,12096,98,897723000,Consumer Cyclicals
145,1508.HK,26/10/2015,14991820,,42479808085,Financials
146,2799.HK,30/10/2015,29945820,,39070208462,Financials
147,1495.HK,6/11/2015,16760,42,777846154,Consumer Cyclicals
148,3908.HK,9/11/2015,164671281,,4368667868,Financials
149,1556.HK,11/11/2015,25510,100,1500000000,Industrials
150,1452.HK,12/11/2015,,,494037000,Basic Materials
151,3799.HK,20/11/2015,10168010,73,13694117500,Consumer Non-Cyclicals
152,2120.HK,19/11/2015,357750,82,74600300,Healthcare
153,1538.HK,25/11/2015,1242180,100,854550000,Real Estate
154,6865.HK,26/11/2015,130575030,33,450000000,Energy
155,0722.HK,27/11/2015,1688760,92,765759953,Healthcare
156,1561.HK,1/12/2015,55000,42,677376770,Basic Materials
157,1492.HK,2/12/2015,4988640,75,2606719522,Consumer Non-Cyclicals
158,3866.HK,3/12/2015,65980,,1763034980,Financials
159,0416.HK,7/12/2015,11220,,7781615684,Financials
160,3996.HK,10/12/2015,45640,84,30020396364,Industrials
161,1341.HK,24/9/2014,2532600,14,5053658561,Industrials
162,1447.HK,10/12/2015,149340,,400000000,Industrials
163,0331.HK,10/12/2015,4782720,97,450000000,Industrials
164,1979.HK,11/12/2015,436280,99,1000456000,Industrials
165,2289.HK,14/12/2015,4590,92,108000000,Consumer Non-Cyclicals
166,3600.HK,15/12/2015,99940,94,962477000,Healthcare
167,1786.HK,16/12/2015,367535,97,1519884000,Industrials
168,1662.HK,18/12/2015,7963040,23,500000000,Industrials
169,1197.HK,,,,1000000000,Consumer Cyclicals
170,1543.HK,23/12/2015,2600,,1560792687,Financials
171,6196.HK,23/12/2015,7083948,,1669800000,Financials
172,1558.HK,29/12/2015,48183507,99,879967700,Healthcare
173,1568.HK,29/12/2015,10380,74,2158210000,Consumer Cyclicals
174,1548.HK,30/12/2015,146334357,1,1920374682,Healthcare
175,1799.HK,30/12/2015,170896,42,1200000000,Basic Materials
176,3678.HK,30/12/2015,69300,,907000000,Financials
177,3326.HK,4/1/2016,14805,100,1350000000,Consumer Cyclicals
178,3773.HK,7/1/2016,18360,63,415000000,Technology
179,1459.HK,12/1/2016,16280,100,533360000,Industrials
180,3301.HK,13/1/2016,14911780,77,1702517417,Real Estate
181,1565.HK,15/1/2016,6171770,55,3088761000,Academic & Educational Services
182,3963.HK,28/1/2016,,,412509000,Financials
183,2768.HK,8/3/2016,6179939,97,4055734623,Real Estate
184,6833.HK,10/3/2016,1260,83,1691890585,Consumer Non-Cyclicals
185,2138.HK,11/3/2016,5311030,78,1025611195,Consumer Non-Cyclicals
186,1557.HK,18/3/2016,143960,27,400000000,Industrials
187,2016.HK,30/3/2016,15717220,,4554000000,Financials
188,2239.HK,30/3/2016,,2,319202361,Technology
189,1578.HK,30/3/2016,,,6070551822,Financials
190,1419.HK,1/4/2016,1260,99,379552233,Healthcare
191,1496.HK,8/4/2016,16684,98,864000000,Industrials
192,1469.HK,8/4/2016,18320,,2500000000,Financials
193,1982.HK,12/4/2016,95850,96,2279392000,Consumer Cyclicals
194,1243.HK,12/4/2016,3160468,91,15200000000,Real Estate
195,2738.HK,15/4/2016,1052700,23,600000000,Basic Materials
196,3626.HK,18/5/2016,256840,41,184000000,Basic Materials
197,1585.HK,19/5/2016,128621400,33,2995000000,Consumer Cyclicals
198,2588.HK,1/6/2016,63722171,60,694010334,Financials
199,1420.HK,8/6/2016,15600,,1036456000,Industrials
200,1549.HK,6/7/2016,2440,58,1400000000,Industrials
201,3958.HK,23/3/2015,44748216,,1027080000,Financials
202,1606.HK,11/7/2016,40180,,12642380000,Financials
203,1586.HK,12/7/2016,37800,92,400000000,Energy
204,2869.HK,11/7/2016,80439650,32,3217246227,Real Estate
205,1523.HK,13/7/2016,68560,91,1069072000,Technology
206,1560.HK,13/7/2016,20040,6,641498000,Real Estate
207,1573.HK,13/7/2016,,,718000000,Energy
208,1579.HK,13/7/2016,84600970,9,1046900000,Consumer Non-Cyclicals
209,1612.HK,13/7/2016,1361880,98,640829000,Healthcare
210,1589.HK,15/7/2016,8322270,17,3237802835,Industrials
211,2278.HK,15/7/2016,,71,300000000,Real Estate
212,6816.HK,20/7/2016,,70,800000000,Industrials
213,6178.HK,18/8/2009,29517646,,704088800,Financials
214,2031.HK,12/9/2016,,,762000000,Consumer Cyclicals
215,3893.HK,12/9/2016,204860,1,2880000000,Consumer Cyclicals
216,2633.HK,21/9/2016,379460,81,1934221000,Healthcare
217,1658.HK,28/9/2016,1057056659,,19856167000,Financials
218,1591.HK,28/9/2016,49760,1,4000000000,Industrials
219,1577.HK,30/9/2016,,,680000000,Financials
220,6858.HK,6/10/2016,858445,,605642500,Consumer Cyclicals
221,1526.HK,6/10/2016,12320,63,1590324000,Healthcare
222,6099.HK,17/11/2009,33589985,,1274521534,Financials
223,2166.HK,7/10/2016,128940,80,492955030,Technology
224,1547.HK,14/10/2016,1728,,800000000,Industrials
225,2113.HK,17/10/2016,23200,7,804750000,Industrials
226,1609.HK,17/10/2016,17600,10,977760000,Industrials
227,3320.HK,28/10/2016,25928985,96,6282510461,Healthcare
228,3306.HK,31/10/2016,1789866,94,518750000,Consumer Cyclicals
229,1610.HK,1/11/2016,50509310,85,3901998323,Consumer Non-Cyclicals
230,1572.HK,8/11/2016,11016,,1678000000,Technology
231,3686.HK,8/11/2016,15600,100,1015200000,Consumer Cyclicals
232,3689.HK,8/11/2016,28700,100,334394000,Healthcare
233,6163.HK,11/11/2016,45500,84,251364000,Industrials
234,1633.HK,11/11/2016,76095,26,684750000,Industrials
235,1458.HK,11/11/2016,59538125,26,2383140500,Consumer Non-Cyclicals
236,1272.HK,15/11/2016,1640,50,2967542000,Industrials
237,1611.HK,21/11/2016,3204640,5,306800000,Industrials
238,1608.HK,24/11/2016,15520670,60,2646413000,Industrials
239,1629.HK,25/11/2016,,11,500000000,Basic Materials
240,6189.HK,25/11/2016,93965,38,240930645,Industrials
241,1632.HK,29/11/2016,31380,53,858918182,Consumer Cyclicals
242,1635.HK,4/3/1993,96100,33,533643000,Utilities
243,1581.HK,8/12/2016,1805,97,1037500000,Industrials
244,6066.HK,20/6/2018,146504564,,1261023762,Financials
245,1617.HK,12/12/2016,60560,61,1120000000,Technology
246,1357.HK,15/12/2016,19139035,4,4312830746,Technology
247,1580.HK,19/12/2016,51990,1,974400000,Basic Materials
248,1596.HK,21/12/2016,1351040,54,897840000,Basic Materials
249,1637.HK,3/1/2017,9070,100,400000000,Industrials
250,1536.HK,11/1/2017,15000,100,380000000,Industrials
251,1575.HK,12/1/2017,97874,1,1000000000,Consumer Cyclicals
252,1656.HK,24/11/2005,417250,82,435337894,Industrials
253,6122.HK,,61540,,4393239455,Financials
254,1518.HK,18/1/2017,39200,100,490025000,Healthcare
255,6068.HK,26/1/2017,7110780,77,2177154000,Academic & Educational Services
256,3789.HK,8/2/2017,7880,100,1200000000,Industrials
257,2266.HK,28/6/2017,41410,,400000000,Industrials
258,1660.HK,10/2/2017,2050000,10,6195000000,Industrials
259,1989.HK,15/2/2017,,,902880000,Healthcare
260,1627.HK,20/2/2017,24240,95,2000000000,Industrials
261,6169.HK,28/2/2017,37171155,48,3339640183,Academic & Educational Services
262,1985.HK,8/3/2017,211000,,300000000,Technology
263,3395.HK,10/3/2017,2225,3,301886520,Energy
264,3869.HK,16/3/2017,,55,138194000,Healthcare
265,1569.HK,22/3/2017,3862360,93,4217720000,Academic & Educational Services
266,1647.HK,30/3/2017,65845,83,1030540000,Industrials
267,2017.HK,31/3/2017,,87,618502000,Industrials
268,2281.HK,31/3/2017,13180,94,859710000,Utilities
269,3768.HK,6/4/2017,307550,91,1029111000,Utilities
